"sentID","compLower","popularity","nComp","percent"
66,"het casino",39,49,75
66,"een casino",5,49,9.80392156862745
66,"de gokhal",2,49,3.84615384615385
66,"de casino",1,49,1.92307692307692
66,"de kroeg",1,49,1.92307692307692
66,"het caf_",1,49,1.92307692307692
67,"de bel",45,49,86.5384615384615
67,"de schoolbel",2,49,3.84615384615385
67,"de bal",1,49,1.92307692307692
67,"de zoemer",1,49,1.92307692307692
68,"het caf_",30,49,57.6923076923077
68,"het cafe",10,49,19.6078431372549
68,"de kroeg",4,49,7.69230769230769
68,"de bar",3,49,5.76923076923077
68,"een bar",1,49,1.92307692307692
68,"het restaurant",1,49,1.92307692307692
69,"het geluid",36,46,72
69,"de muziek",6,46,11.7647058823529
69,"zijn muziek",4,46,7.69230769230769
70,"de sportschool",35,49,70
70,"de fitness",4,49,7.69230769230769
70,"het sportcentrum",4,49,7.69230769230769
70,"de club",1,49,1.92307692307692
70,"de sporthal",1,49,1.92307692307692
70,"de sportzaal",1,49,1.92307692307692
70,"een fitnesscentrum",1,49,1.92307692307692
70,"het centrum",1,49,1.92307692307692
70,"het fitnesscentrum",1,49,1.92307692307692
71,"de wieg",21,46,41.1764705882353
71,"het wiegje",6,46,11.7647058823529
71,"haar bedje",5,46,9.80392156862745
71,"het bed",4,46,7.69230769230769
71,"haar bed",3,46,5.76923076923077
71,"haar wiegje",2,46,3.84615384615385
71,"de commode",1,46,1.92307692307692
71,"de weg",1,46,1.92307692307692
71,"het bedje",1,46,1.92307692307692
71,"het ledikant",1,46,1.92307692307692
71,"het ledikantje",1,46,1.92307692307692
72,"de telescoop",23,49,44.2307692307692
72,"het raam",10,49,19.6078431372549
72,"de sterrenkijker",4,49,7.69230769230769
72,"een telescoop",4,49,7.69230769230769
72,"de verrekijker",2,49,3.84615384615385
72,"het dakraam",2,49,3.84615384615385
72,"een microscoop",1,49,1.92307692307692
72,"mijn raam",1,49,1.92307692307692
72,"mijn sterrenkijker",1,49,1.92307692307692
72,"mijn telescoop",1,49,1.92307692307692
73,"het scherm",35,53,70
73,"het beeldscherm",12,53,23.5294117647059
73,"de ansichtkaarten",1,53,1.92307692307692
73,"de monitor",1,53,1.92307692307692
73,"de plant",1,53,1.92307692307692
73,"het plafond",1,53,1.92307692307692
73,"zijn bureaublad",1,53,1.92307692307692
73,"zijn laptop",1,53,1.92307692307692
74,"de spiegel",49,52,94.2307692307692
74,"de buitenwereld",1,52,1.92307692307692
74,"haar vertrek",1,52,1.92307692307692
74,"het feest",1,52,1.92307692307692
75,"het jaar",53,53,101.923076923077
76,"de menukaart",22,52,43.1372549019608
76,"het menu",16,52,31.3725490196078
76,"de kaart",14,52,27.4509803921569
77,"het aanrecht",48,52,92.3076923076923
77,"de tafel",3,52,5.76923076923077
77,"de snijplank",1,52,1.92307692307692
78,"de duisternis",16,52,31.3725490196078
78,"de zaak",12,52,23.5294117647059
78,"de tunnel",11,52,21.5686274509804
78,"het duister",5,52,9.80392156862745
78,"gi",3,52,5.76923076923077
78,"de kamer",2,52,3.84615384615385
78,"de horizon",1,52,1.92307692307692
78,"de verte",1,52,1.92307692307692
78,"het donker",1,52,1.92307692307692
79,"de wolf",42,45,80.7692307692308
79,"een wolf",3,45,5.76923076923077
80,"de lucht",53,53,101.923076923077
81,"het huis",22,53,43.1372549019608
81,"ons huis",10,53,19.6078431372549
81,"de kat",9,53,17.6470588235294
81,"de planten",7,53,13.7254901960784
81,"de katten",3,53,5.76923076923077
81,"de dieren",1,53,1.92307692307692
81,"onze kat",1,53,1.92307692307692
82,"de auto",30,53,57.6923076923077
82,"de kofferbak",13,53,25.4901960784314
82,"de achterbak",9,53,17.6470588235294
82,"de bak",1,53,1.92307692307692
83,"het krijt",40,53,76.9230769230769
83,"het rood",8,53,15.6862745098039
83,"de schuld",3,53,5.76923076923077
83,"de min",2,53,3.84615384615385
84,"de hoek",43,50,82.6923076923077
84,"het niets",2,50,3.84615384615385
84,"ter tafel",2,50,3.84615384615385
84,"de bocht",1,50,1.92307692307692
84,"de bus",1,50,1.92307692307692
84,"de voeten",1,50,1.92307692307692
85,"de kameel",49,52,94.2307692307692
85,"de woestijnrat",1,52,1.92307692307692
85,"een dromedaris",1,52,1.92307692307692
85,"een kameel",1,52,1.92307692307692
86,"de stroom",36,53,72
86,"de electriciteit",6,53,11.7647058823529
86,"het licht",6,53,11.7647058823529
86,"de elektriciteit",5,53,9.80392156862745
87,"het hart",50,53,96.1538461538462
87,"gi",2,53,3.84615384615385
87,"het hoofd",1,53,1.92307692307692
88,"de sloot",51,53,98.0769230769231
88,"de kast",1,53,1.92307692307692
88,"de stal",1,53,1.92307692307692
89,"het net",51,52,98.0769230769231
89,"de verkeerde",1,52,1.92307692307692
90,"de airco",41,53,78.8461538461538
90,"de airconditioning",5,53,9.80392156862745
90,"de radio",3,53,5.76923076923077
90,"de ventilator",3,53,5.76923076923077
90,"de ac",1,53,1.92307692307692
91,"een aansteker",33,50,63.4615384615385
91,"een vuurtje",15,50,29.4117647058824
91,"de aansteker",2,50,3.84615384615385
92,"de maand",52,53,100
92,"de periode",1,53,1.92307692307692
93,"het hotel",50,53,96.1538461538462
93,"de plek",2,53,3.84615384615385
93,"zijn hotel",1,53,1.92307692307692
94,"de mouw",53,53,101.923076923077
95,"de balk",46,53,88.4615384615385
95,"de toonbank",5,53,9.80392156862745
95,"de bank",2,53,3.84615384615385
96,"de rekening",24,53,46.1538461538462
96,"de huur",11,53,21.5686274509804
96,"de rekeningen",5,53,9.80392156862745
96,"zijn schuld",3,53,5.76923076923077
96,"de boete",2,53,3.84615384615385
96,"het geld",2,53,3.84615384615385
96,"de aanmaning",1,53,1.92307692307692
96,"de schulden",1,53,1.92307692307692
96,"zijn huur",1,53,1.92307692307692
96,"zijn rekening",1,53,1.92307692307692
96,"zijn rekeningen",1,53,1.92307692307692
96,"zijn schulden",1,53,1.92307692307692
97,"de pet",45,52,86.5384615384615
97,"zijn pet",2,52,3.84615384615385
97,"de haren",1,52,1.92307692307692
97,"de paplepel",1,52,1.92307692307692
97,"de peet",1,52,1.92307692307692
97,"de schoen",1,52,1.92307692307692
97,"gi",1,52,1.92307692307692
98,"de kerk",44,53,84.6153846153846
98,"de kerktoren",6,53,11.7647058823529
98,"de toren",2,53,3.84615384615385
98,"acht uur",1,53,1.92307692307692
99,"de natuur",26,51,50
99,"het bos",4,51,7.69230769230769
99,"de bossen",3,51,5.76923076923077
99,"de dieren",3,51,5.76923076923077
99,"de vogels",2,51,3.84615384615385
99,"het groen",2,51,3.84615384615385
99,"de bebossing",1,51,1.92307692307692
99,"de grachten",1,51,1.92307692307692
99,"de mensen",1,51,1.92307692307692
99,"de planten",1,51,1.92307692307692
99,"de weilanden",1,51,1.92307692307692
99,"het doel",1,51,1.92307692307692
99,"het landschap",1,51,1.92307692307692
99,"het milieu",1,51,1.92307692307692
99,"het natuurgebied",1,51,1.92307692307692
99,"het wild",1,51,1.92307692307692
99,"wilde dieren",1,51,1.92307692307692
100,"de wind",46,53,88.4615384615385
100,"gi",4,53,7.69230769230769
100,"het gezicht",2,53,3.84615384615385
100,"de pan",1,53,1.92307692307692
101,"het lijf",51,53,98.0769230769231
101,"gi",1,53,1.92307692307692
101,"haar lijf",1,53,1.92307692307692
102,"het eten",52,53,100
102,"de pan",1,53,1.92307692307692
103,"de draak",39,52,75
103,"een draak",6,52,11.7647058823529
103,"de bewakers",1,52,1.92307692307692
103,"de prins",1,52,1.92307692307692
103,"de stiefmoeder",1,52,1.92307692307692
103,"de vijand",1,52,1.92307692307692
103,"geen idee",1,52,1.92307692307692
103,"haar moeder",1,52,1.92307692307692
103,"het monster",1,52,1.92307692307692
104,"de berg",46,52,88.4615384615385
104,"de heuvel",5,52,9.80392156862745
104,"de duin",1,52,1.92307692307692
105,"de tralies",38,53,73.0769230769231
105,"de spijlen",8,53,15.6862745098039
105,"de muur",1,53,1.92307692307692
