"sentID","compLower","popularity","nComp","percent","above70"
49,"de muizen",36,48,72,1
50,"het sprookje",36,48,72,1
51,"het vliegtuig",41,47,78.8461538461538,1
52,"het schilderij",29,49,58,0
53,"het bruidspaar",29,47,58,0
54,"de apotheek",43,49,82.6923076923077,1
55,"het bereik",21,48,41.1764705882353,0
56,"de pasta",18,48,35.2941176470588,0
57,"de kapstok",48,49,92.3076923076923,1
58,"de muur",47,49,90.3846153846154,1
59,"het internet",46,47,88.4615384615385,1
60,"de ober",20,49,39.2156862745098,0
61,"het glas",19,47,37.2549019607843,0
62,"het woordenboek",45,49,86.5384615384615,1
63,"het verkeer",45,48,86.5384615384615,1
64,"de vergadering",40,48,76.9230769230769,1
65,"het spel",22,48,43.1372549019608,0
66,"het casino",39,49,75,1
67,"de bel",45,49,86.5384615384615,1
68,"het caf_",30,49,57.6923076923077,0
69,"het geluid",36,46,72,1
70,"de sportschool",35,49,70,1
71,"de wieg",21,46,41.1764705882353,0
72,"de telescoop",23,49,44.2307692307692,0
73,"het scherm",35,53,70,1
74,"de spiegel",49,52,94.2307692307692,1
75,"het jaar",53,53,101.923076923077,1
76,"de menukaart",22,52,43.1372549019608,0
77,"het aanrecht",48,52,92.3076923076923,1
78,"de duisternis",16,52,31.3725490196078,0
79,"de wolf",42,45,80.7692307692308,1
80,"de lucht",53,53,101.923076923077,1
81,"het huis",22,53,43.1372549019608,0
82,"de auto",30,53,57.6923076923077,0
83,"het krijt",40,53,76.9230769230769,1
84,"de hoek",43,50,82.6923076923077,1
85,"de kameel",49,52,94.2307692307692,1
86,"de stroom",36,53,72,1
87,"het hart",50,53,96.1538461538462,1
88,"de sloot",51,53,98.0769230769231,1
89,"het net",51,52,98.0769230769231,1
90,"de airco",41,53,78.8461538461538,1
91,"een aansteker",33,50,63.4615384615385,0
92,"de maand",52,53,100,1
93,"het hotel",50,53,96.1538461538462,1
94,"de mouw",53,53,101.923076923077,1
95,"de balk",46,53,88.4615384615385,1
96,"de rekening",24,53,46.1538461538462,0
97,"de pet",45,52,86.5384615384615,1
98,"de kerk",44,53,84.6153846153846,1
99,"de natuur",26,51,50,0
100,"de wind",46,53,88.4615384615385,1
101,"het lijf",51,53,98.0769230769231,1
102,"het eten",52,53,100,1
103,"de draak",39,52,75,1
104,"de berg",46,52,88.4615384615385,1
105,"de tralies",38,53,73.0769230769231,1
106,"de tuinman",49,53,94.2307692307692,1
107,"de naald",53,53,101.923076923077,1
108,"de pan",55,58,105.769230769231,1
109,"het balkon",44,58,84.6153846153846,1
110,"het lint",30,58,57.6923076923077,0
111,"het contract",48,58,92.3076923076923,1
112,"het wapen",15,49,29.4117647058824,0
113,"de trein",32,58,61.5384615384615,0
114,"de bioscoop",34,58,68,0
115,"het terras",36,58,72,1
116,"de meterkast",46,58,88.4615384615385,1
117,"de kantine",43,58,82.6923076923077,1
118,"het tentamen",44,58,84.6153846153846,1
119,"een concert",26,58,50,0
120,"de samenvatting",41,58,78.8461538461538,1
121,"de zon",45,58,86.5384615384615,1
122,"de pot",49,58,94.2307692307692,1
123,"de dierentuin",43,51,82.6923076923077,1
124,"het restaurant",54,58,103.846153846154,1
125,"de boom",56,56,107.692307692308,1
126,"de champagne",41,54,78.8461538461538,1
127,"de jungle",28,58,56,0
128,"de brief",22,58,43.1372549019608,0
129,"het bestek",57,58,109.615384615385,1
130,"het stadion",50,58,96.1538461538462,1
131,"de conducteur",42,58,80.7692307692308,1
132,"de wereld",50,58,96.1538461538462,1
133,"de wachtkamer",45,58,86.5384615384615,1
134,"de kinderwagen",30,57,57.6923076923077,0
135,"de koets",40,58,76.9230769230769,1
136,"het station",53,58,101.923076923077,1
137,"het zeil",53,58,101.923076923077,1
138,"de postbode",29,58,58,0
139,"een gedicht",28,57,56,0
140,"het museum",52,58,100,1
141,"het slot",34,58,68,0
142,"het vak",46,58,88.4615384615385,1
