"sentID","compLower","popularity","nComp","percent","above70"
54,"de dokter",1,49,2.04081632653061,0
55,"het bereik",21,48,43.75,0
55,"de verbinding",17,48,35.4166666666667,0
55,"de ontvangst",9,48,18.75,0
55,"het ontvangst",1,48,2.08333333333333,0
56,"de pasta",18,48,37.5,0
56,"de pan",12,48,25,0
56,"de saus",11,48,22.9166666666667,0
56,"de spaghetti",2,48,4.16666666666667,0
56,"het eten",2,48,4.16666666666667,0
56,"de salade",1,48,2.08333333333333,0
56,"de wok",1,48,2.08333333333333,0
56,"het gerecht",1,48,2.08333333333333,0
57,"de kapstok",48,49,97.9591836734694,1
57,"het haakje",1,49,2.04081632653061,0
58,"de muur",47,49,95.9183673469388,1
58,"gi",1,49,2.04081632653061,0
58,"het plafond",1,49,2.04081632653061,0
59,"het internet",46,47,97.8723404255319,1
59,"het interne",1,47,2.12765957446809,0
60,"de ober",20,49,40.8163265306122,0
60,"de bediening",11,49,22.4489795918367,0
60,"de serveerster",9,49,18.3673469387755,0
60,"het personeel",5,49,10.2040816326531,0
60,"de bediende",1,49,2.04081632653061,0
60,"de kelner",1,49,2.04081632653061,0
60,"de serveerder",1,49,2.04081632653061,0
60,"het eten",1,49,2.04081632653061,0
61,"het glas",19,47,40.4255319148936,0
61,"een glas",14,47,29.7872340425532,0
61,"de glazen",8,47,17.0212765957447,0
61,"een wijnglas",3,47,6.38297872340426,0
61,"met name",1,47,2.12765957446809,0
61,"onze glazen",1,47,2.12765957446809,0
61,"voor ons",1,47,2.12765957446809,0
62,"het woordenboek",45,49,91.8367346938776,1
62,"een woordenboek",3,49,6.12244897959184,0
62,"de encyclopedie",1,49,2.04081632653061,0
63,"het verkeer",45,48,93.75,1
63,"de straten",1,48,2.08333333333333,0
63,"een land",1,48,2.08333333333333,0
63,"ieder geval",1,48,2.08333333333333,0
64,"de vergadering",40,48,83.3333333333333,1
64,"de bijeenkomst",2,48,4.16666666666667,0
64,"de meeting",2,48,4.16666666666667,0
64,"het beraad",1,48,2.08333333333333,0
64,"het debat",1,48,2.08333333333333,0
64,"het overleg",1,48,2.08333333333333,0
64,"het verhoor",1,48,2.08333333333333,0
65,"het spel",22,48,45.8333333333333,0
65,"het leven",10,48,20.8333333333333,0
65,"gi",3,48,6.25,0
65,"het algemeen",2,48,4.16666666666667,0
65,"zijn werk",2,48,4.16666666666667,0
65,"de centen",1,48,2.08333333333333,0
65,"de rest",1,48,2.08333333333333,0
65,"de sport",1,48,2.08333333333333,0
65,"de vriendschap",1,48,2.08333333333333,0
65,"de wetenschap",1,48,2.08333333333333,0
65,"de zaken",1,48,2.08333333333333,0
65,"het echt",1,48,2.08333333333333,0
65,"ieder geval",1,48,2.08333333333333,0
65,"zijn baan",1,48,2.08333333333333,0
66,"het casino",39,49,79.5918367346939,1
66,"een casino",5,49,10.2040816326531,0
66,"de gokhal",2,49,4.08163265306122,0
66,"de casino",1,49,2.04081632653061,0
66,"de kroeg",1,49,2.04081632653061,0
66,"het caf_",1,49,2.04081632653061,0
67,"de bel",45,49,91.8367346938776,1
67,"de schoolbel",2,49,4.08163265306122,0
67,"de bal",1,49,2.04081632653061,0
67,"de zoemer",1,49,2.04081632653061,0
68,"het cafe",40,49,81.6326530612245,1
68,"de kroeg",4,49,8.16326530612245,0
68,"de bar",3,49,6.12244897959184,0
68,"een bar",1,49,2.04081632653061,0
68,"het restaurant",1,49,2.04081632653061,0
69,"het geluid",36,46,78.2608695652174,1
69,"de muziek",6,46,13.0434782608696,0
69,"zijn muziek",4,46,8.69565217391304,0
70,"de sportschool",35,49,71.4285714285714,1
70,"de fitness",4,49,8.16326530612245,0
70,"het sportcentrum",4,49,8.16326530612245,0
70,"de club",1,49,2.04081632653061,0
70,"de sporthal",1,49,2.04081632653061,0
70,"de sportzaal",1,49,2.04081632653061,0
70,"een fitnesscentrum",1,49,2.04081632653061,0
70,"het centrum",1,49,2.04081632653061,0
70,"het fitnesscentrum",1,49,2.04081632653061,0
71,"de wieg",21,46,45.6521739130435,0
71,"het wiegje",6,46,13.0434782608696,0
71,"haar bedje",5,46,10.8695652173913,0
71,"het bed",4,46,8.69565217391304,0
71,"haar bed",3,46,6.52173913043478,0
71,"haar wiegje",2,46,4.34782608695652,0
71,"de commode",1,46,2.17391304347826,0
71,"de weg",1,46,2.17391304347826,0
71,"het bedje",1,46,2.17391304347826,0
71,"het ledikant",1,46,2.17391304347826,0
71,"het ledikantje",1,46,2.17391304347826,0
72,"de telescoop",23,49,46.9387755102041,0
72,"het raam",10,49,20.4081632653061,0
72,"de sterrenkijker",4,49,8.16326530612245,0
72,"een telescoop",4,49,8.16326530612245,0
72,"de verrekijker",2,49,4.08163265306122,0
72,"het dakraam",2,49,4.08163265306122,0
72,"een microscoop",1,49,2.04081632653061,0
72,"mijn raam",1,49,2.04081632653061,0
72,"mijn sterrenkijker",1,49,2.04081632653061,0
72,"mijn telescoop",1,49,2.04081632653061,0
73,"het scherm",35,53,66.0377358490566,0
73,"het beeldscherm",12,53,22.6415094339623,0
73,"de ansichtkaarten",1,53,1.88679245283019,0
73,"de monitor",1,53,1.88679245283019,0
73,"de plant",1,53,1.88679245283019,0
73,"het plafond",1,53,1.88679245283019,0
73,"zijn bureaublad",1,53,1.88679245283019,0
73,"zijn laptop",1,53,1.88679245283019,0
74,"de spiegel",49,52,94.2307692307692,1
74,"de buitenwereld",1,52,1.92307692307692,0
74,"haar vertrek",1,52,1.92307692307692,0
74,"het feest",1,52,1.92307692307692,0
75,"het jaar",53,53,100,1
76,"de menukaart",22,52,42.3076923076923,0
76,"het menu",16,52,30.7692307692308,0
76,"de kaart",14,52,26.9230769230769,0
77,"het aanrecht",48,52,92.3076923076923,1
77,"de tafel",3,52,5.76923076923077,0
77,"de snijplank",1,52,1.92307692307692,0
78,"de duisternis",16,52,30.7692307692308,0
78,"de zaak",12,52,23.0769230769231,0
78,"de tunnel",11,52,21.1538461538462,0
78,"het duister",5,52,9.61538461538462,0
78,"gi",3,52,5.76923076923077,0
78,"de kamer",2,52,3.84615384615385,0
78,"de horizon",1,52,1.92307692307692,0
78,"de verte",1,52,1.92307692307692,0
78,"het donker",1,52,1.92307692307692,0
79,"de wolf",42,45,93.3333333333333,1
79,"een wolf",3,45,6.66666666666667,0
80,"de lucht",53,53,100,1
81,"het huis",22,53,41.5094339622642,0
81,"ons huis",10,53,18.8679245283019,0
81,"de kat",9,53,16.9811320754717,0
81,"de planten",7,53,13.2075471698113,0
81,"de katten",3,53,5.66037735849057,0
81,"de dieren",1,53,1.88679245283019,0
81,"onze kat",1,53,1.88679245283019,0
82,"de auto",30,53,56.6037735849057,0
82,"de kofferbak",13,53,24.5283018867925,0
82,"de achterbak",9,53,16.9811320754717,0
82,"de bak",1,53,1.88679245283019,0
83,"het krijt",40,53,75.4716981132076,1
83,"het rood",8,53,15.0943396226415,0
83,"de schuld",3,53,5.66037735849057,0
83,"de min",2,53,3.77358490566038,0
84,"de hoek",43,50,86,1
84,"het niets",2,50,4,0
84,"ter tafel",2,50,4,0
84,"de bocht",1,50,2,0
84,"de bus",1,50,2,0
84,"de voeten",1,50,2,0
85,"de kameel",49,52,94.2307692307692,1
85,"de woestijnrat",1,52,1.92307692307692,0
85,"een dromedaris",1,52,1.92307692307692,0
85,"een kameel",1,52,1.92307692307692,0
86,"de stroom",36,53,67.9245283018868,0
86,"de electriciteit",6,53,11.3207547169811,0
86,"het licht",6,53,11.3207547169811,0
86,"de elektriciteit",5,53,9.43396226415094,0
87,"het hart",50,53,94.3396226415094,1
87,"gi",2,53,3.77358490566038,0
