"sentID","SentenceContext","sentenceClosure","compLower","popularity","nComp","percent","above70","comp.det","comp.noun","Lg10WF","natNess","RT","Diff"
68,"Na het dagje uit besloten de dames nog een drankje te doen in","op de hoek van de straat.","het cafe",40,49,81.6326530612245,1,"het","cafe",1.7559,5.48979591836735,6.36477551020408,5.59183673469388
69,"Michael heeft net nieuwe boxen voor zijn televisie gekocht waardoor","nu nog beter klinkt.","het geluid",36,46,78.2608695652174,1,"het","geluid",3.3176,5.65217391304348,14.3574565217391,5.39130434782609
70,"Andrea en Evelien gingen samen fitnessen in","bij hen in de buurt.","de sportschool",35,49,71.4285714285714,1,"de","sportschool",2.1399,5.6530612244898,5.3249387755102,5.36734693877551
71,"De baby was eindelijk in slaap gevallen, dus Kristiaan legde haar in","in haar slaapkamer.","de wieg",21,46,45.6521739130435,0,"de","wieg",2.2577,5.28260869565217,32.220347826087,5.56521739130435
72,"Ik ben erg ge´nteresseerd in de sterren en planeten en kijk 's avonds vaak naar de sterren door","op onze zolderkamer.","de telescoop",23,49,46.9387755102041,0,"de","telescoop",2.0531,5.63265306122449,4.59475510204082,5.51020408163265
73,"Maarten zit veel achter zijn computer en staart vaak uren naar","op zijn bureau.","het scherm",35,53,66.0377358490566,0,"het","scherm",2.7774,5.05660377358491,8.10333962264151,5.05660377358491
74,"Voor ze de deur uitgaat maakt Nikki zichzelf altijd op voor","in haar kamer.","de spiegel",49,52,94.2307692307692,1,"de","spiegel",3.0795,5.44230769230769,10.5814615384615,5.17307692307692
75,"December is mijn favoriete maand van","vanwege de sneeuw en de gezelligheid.","het jaar",53,53,100,1,"het","jaar",4.5231,5.77358490566038,3.20488679245283,5.90566037735849
76,"Toen de hongerige klanten hun plek in het restaurant gekozen hadden, vroegen zij snel naar","met alle heerlijke gerechten.","de menukaart",22,52,42.3076923076923,0,"de","menukaart",1.5185,5.23076923076923,7.49003846153846,5.57692307692308
77,"Alle ingrediïnten voor het gerecht had Lisanne in de keuken op","gelegd.","het aanrecht",48,52,92.3076923076923,1,"het","aanrecht",1.8633,5.53846153846154,7.22990384615385,5.36538461538461
78,"We zagen heel lang geen oplossing, maar we lijken nu eindelijk licht aan het einde van","te gaan zien.","de duisternis",16,52,30.7692307692308,0,"de","duisternis",2.9605,3.98076923076923,12.2587307692308,4.09615384615385
79,"Roodkapje liep door het bos naar het huis van haar oma, maar achter de bomen wachtte","op haar.","de wolf",42,45,93.3333333333333,1,"de","wolf",2.9479,5.6,9.92853333333333,5.6
80,"Toen hij hoorde dat hij zijn examen gehaald had, sprong hij een gat in","van blijdschap.","de lucht",53,53,100,1,"de","lucht",3.5903,5.81132075471698,3.25666037735849,5.9622641509434
81,"Toen we een paar weken weggingen gaven we de sleutel aan de buurvrouw, zodat zij op","kon passen.","het huis",22,53,41.5094339622642,0,"het","huis",4.554,5.50943396226415,11.9371320754717,5.22641509433962
82,"We stonden op het punt om naar het vliegveld te vertrekken. Mijn moeder deed onze koffers in","en sloot de deur.","de auto",30,53,56.6037735849057,0,"de","auto",4.3017,5.32075471698113,6.00058490566038,5.22641509433962
83,"Karel heeft honderd euro aan Frank geleend, dus staat Frank nu bij Karel in","en werkt hij hard om het terug te verdienen.","het krijt",40,53,75.4716981132076,1,"het","krijt",2.7143,5.24528301886792,28.0134905660377,5.39622641509434
84,"De vergadering ging grotendeels zoals verwacht, alleen het nieuws van Jan kwam nogal onverwachts uit","en dus schrokken wij.","de hoek",43,50,86,1,"de","hoek",3.3393,4.98,8.41626,5.2
85,"E_n van de meest typische lastdieren in de woestijn is natuurlijk","met zijn bulten.","de kameel",49,52,94.2307692307692,1,"de","kameel",2.0755,5.46153846153846,4.78661538461538,5.57692307692308
86,"Door de storm en het onweer viel in huis","uit.","de stroom",36,53,67.9245283018868,0,"de","stroom",3.1163,5.60377358490566,3.12033962264151,5.56603773584906
87,"Nadat ik naar het buitenland vertrok, heb ik nooit meer iets van haar gehoord. Het is bij haar altijd uit het oog uit","en dat vind ik wel heel jammer.","het hart",50,53,94.3396226415094,1,"het","hart",3.9339,5.43396226415094,11.6762452830189,5.52830188679245
88,"Het is niet eerlijk om tijdens een ruzie oude koeien uit","te halen.","de sloot",51,53,96.2264150943396,1,"de","sloot",2.6758,5.90566037735849,3.46905660377359,5.94339622641509
89,"Sommige mensen hebben altijd pech, die vissen altijd achter","en dat is best sneu.","het net",51,52,98.0769230769231,1,"het","net",4.6431,5.67307692307692,5.00775,5.88461538461539
90,"Het was snikheet in de auto toen zij in de file stonden, dus zette Fiona","aan.","de airco",41,53,77.3584905660377,1,"de","airco",2.3139,5.64150943396226,5.54711320754717,5.45283018867925
91,"Hij had niets bij zich om zijn sigaret mee aan te steken en daarom vroeg hij","aan zijn vriend.","een aansteker",33,50,66,0,"een","aansteker",2.4031,5.36,4.5573,5.5
92,"De huur van je kamer wordt altijd afgeschreven aan het begin van","waarin je huurt.","de maand",52,53,98.1132075471698,1,"de","maand",3.6124,5.18867924528302,6.79216981132075,5.62264150943396
93,"Na het optreden werd de popster met de limousine teruggebracht naar","waar zij sliep.","het hotel",50,53,94.3396226415094,1,"het","hotel",3.5889,5.58490566037736,5.76864150943396,5.58490566037736
94,"Nadat de politie dagenlang de verdachte had verhoord, kwam eindelijk de aap uit",", wat het een stuk gemakkelijker maakte om de medeplichtige te vinden.","de mouw",53,53,100,1,"de","mouw",2.2648,5.60377358490566,5.5802641509434,5.9811320754717
95,"Omdat Peter net de loterij heeft gewonnen smijt hij zijn geld nu over",", omdat het kan.","de balk",46,53,86.7924528301887,1,"de","balk",1.9031,5.24528301886792,12.8676603773585,5.71698113207547
96,"De deurwaarder stond voor de deur, omdat Marc na twee waarschuwingen nog steeds","niet had betaald.","de rekening",24,53,45.2830188679245,0,"de","rekening",3.3915,4.79245283018868,5.90143396226415,4.92452830188679
97,"Zijn schoolcijfers zijn ontzettend slecht, hij gooit er echt met","naar.","de pet",45,52,86.5384615384615,1,"de","pet",2.7619,5.53846153846154,4.17153846153846,5.53846153846154
98,"In het dorp luidt elke zondagochtend de klok van","erg hard.","de kerk",44,53,83.0188679245283,1,"de","kerk",3.5412,5.09433962264151,3.32354716981132,5.62264150943396
99,"Met de protestactie probeert de padvindersclub de aandacht van de gemeente te trekken voor de bescherming van","rondom het dorp.","de natuur",26,51,50.9803921568627,0,"de","natuur",3.0719,4.90196078431373,12.9205294117647,4.09803921568627
100,"Op de radio is eerder gemeld dat de wegen glad zouden worden, maar deze waarschuwing sloeg Jan in","toen hij de weg opging.","de wind",46,53,86.7924528301887,1,"de","wind",3.345,5,16.2234150943396,5.05660377358491
