subj_id,RT,sentID,measure
R_CeG821dsnmsmiZP,2.621,6,Timing_1
R_3MG93Py9LV1lYqI,1.421,6,Timing_1
R_UrtVng9RxUYqodr,13.002,6,Timing_1
R_yjxZCpumE2JuLwR,3.747,6,Timing_1
R_eOEX0Ye1lmhGlyl,35.533,6,Timing_1
R_cCLhtJmTS5XidYl,4.708,6,Timing_1
R_vZ75WKEQFz64rIt,2.638,6,Timing_1
R_1Nzi2lWnM0CO3kn,10.26,6,Timing_1
R_2tu71tqKKoKbfJ0,4.728,6,Timing_1
R_2PdQi8meHWRd7Fb,10.665,6,Timing_1
R_3PaHNs19NCzMVbu,4.704,6,Timing_1
R_CjK7Ok90OSXQ3XH,1.137,6,Timing_1
R_1lgEwIKXFHGT01V,1.283,6,Timing_1
R_2qq1JLwmdrdJM9d,8.205,6,Timing_1
R_ZrTEV9TpypUZEC5,4.069,6,Timing_1
R_3Gq55dSXHC6ANc8,7.216,6,Timing_1
R_3D8b4ozl4q217Ie,2.414,6,Timing_1
R_qV03fIB34drHELn,3.486,6,Timing_1
R_1mRh44rpwMf0PbH,4.63,6,Timing_1
R_3gNkgaxQ9C21dQW,5.684,6,Timing_1
R_21umvRGJCCZXoit,14.731,6,Timing_1
R_BKctGx9a1Hi7w4h,4.247,7,Timing_1
R_u2ffULg0uVmoetj,3.784,7,Timing_1
R_2vf9l3GOwanVBOH,0.752,7,Timing_1
R_OqjAwL4brYESqul,19.848,7,Timing_1
R_1LG8FwYsk4Xgq61,3.781,7,Timing_1
R_2wQZuV97sKRkDfp,1.286,7,Timing_1
R_2dsf9d9zlzEbaRw,3.129,7,Timing_1
R_3j0ZzVXSe6NB0v0,55.643,7,Timing_1
R_2SqwKT4bUhZVaYX,10.819,7,Timing_1
R_6yuZ6GaDGqciNE1,14.835,7,Timing_1
R_22DGKB9Dz59SJIt,8.76,7,Timing_1
R_5iDE07CUBSNZdqF,7.04,7,Timing_1
R_2w61flKU0TAtmrX,4.33,7,Timing_1
R_2Y4gtCNHITcznSw,3.99,7,Timing_1
R_2qDHMLvHLCvMWMS,6.296,7,Timing_1
R_bg7cQUV93CWU245,7.538,7,Timing_1
R_2OTJk9jZohSfhSm,4.492,7,Timing_1
R_pGZjTA8wFerMwcV,5.174,7,Timing_1
R_ypTZBjEyvsMpFG9,3.586,7,Timing_1
R_2YkUceTXXRwe7af,2.313,7,Timing_1
R_3D2u0Wq74kM9j2C,4.011,7,Timing_1
R_2Pv6m5XVNiv6pPQ,12.173,7,Timing_1
R_T1l2TIrq1do7Orn,5.479,7,Timing_1
R_9KphKBeCPmqzBCl,2.67,7,Timing_1
R_3qKjZplc0t8Y2IU,1.048,7,Timing_1
R_4GA7uQFTqbGKnlf,4.929,7,Timing_1
R_1hEVfCsYXJCzsVp,4.438,7,Timing_1
R_cHiCbzLrQrYeizP,6.91,7,Timing_1
R_3fQa4YiudlrrSLd,10.214,7,Timing_1
R_z0gtYvawsJg834J,45.251,7,Timing_1
R_2SvKoXHDxtivA4o,6.519,7,Timing_1
R_CeG821dsnmsmiZP,1.589,7,Timing_1
R_3MG93Py9LV1lYqI,1.647,7,Timing_1
R_UrtVng9RxUYqodr,5.428,7,Timing_1
R_yjxZCpumE2JuLwR,3.793,7,Timing_1
R_eOEX0Ye1lmhGlyl,6.403,7,Timing_1
R_cCLhtJmTS5XidYl,15.85,7,Timing_1
R_vZ75WKEQFz64rIt,4.145,7,Timing_1
R_1Nzi2lWnM0CO3kn,5.621,7,Timing_1
R_2tu71tqKKoKbfJ0,7.08,7,Timing_1
R_2PdQi8meHWRd7Fb,10.771,7,Timing_1
R_3PaHNs19NCzMVbu,2.167,7,Timing_1
R_CjK7Ok90OSXQ3XH,61.234,7,Timing_1
R_1lgEwIKXFHGT01V,4.446,7,Timing_1
R_2qq1JLwmdrdJM9d,21.312,7,Timing_1
R_ZrTEV9TpypUZEC5,5.04,7,Timing_1
R_3Gq55dSXHC6ANc8,47.312,7,Timing_1
R_3D8b4ozl4q217Ie,3.508,7,Timing_1
R_qV03fIB34drHELn,2.705,7,Timing_1
R_1mRh44rpwMf0PbH,5.922,7,Timing_1
R_3gNkgaxQ9C21dQW,3.921,7,Timing_1
R_21umvRGJCCZXoit,16.916,7,Timing_1
R_BKctGx9a1Hi7w4h,0.964,8,Timing_1
R_u2ffULg0uVmoetj,2.957,8,Timing_1
R_2vf9l3GOwanVBOH,1.036,8,Timing_1
R_OqjAwL4brYESqul,4.485,8,Timing_1
R_1LG8FwYsk4Xgq61,3.624,8,Timing_1
R_2wQZuV97sKRkDfp,1.077,8,Timing_1
R_2dsf9d9zlzEbaRw,2.432,8,Timing_1
R_3j0ZzVXSe6NB0v0,3.621,8,Timing_1
R_2SqwKT4bUhZVaYX,9.893,8,Timing_1
R_6yuZ6GaDGqciNE1,6.812,8,Timing_1
R_22DGKB9Dz59SJIt,3.054,8,Timing_1
R_5iDE07CUBSNZdqF,7.095,8,Timing_1
R_2w61flKU0TAtmrX,2.652,8,Timing_1
R_2Y4gtCNHITcznSw,544.808,8,Timing_1
R_2qDHMLvHLCvMWMS,38.587,8,Timing_1
R_bg7cQUV93CWU245,4.336,8,Timing_1
R_2OTJk9jZohSfhSm,3.277,8,Timing_1
R_pGZjTA8wFerMwcV,4.504,8,Timing_1
R_ypTZBjEyvsMpFG9,6.013,8,Timing_1
R_2YkUceTXXRwe7af,2.291,8,Timing_1
R_3D2u0Wq74kM9j2C,2.598,8,Timing_1
R_2Pv6m5XVNiv6pPQ,12.204,8,Timing_1
R_T1l2TIrq1do7Orn,3.712,8,Timing_1
R_9KphKBeCPmqzBCl,36.144,8,Timing_1
R_3qKjZplc0t8Y2IU,5.333,8,Timing_1
R_4GA7uQFTqbGKnlf,3.167,8,Timing_1
R_1hEVfCsYXJCzsVp,2.065,8,Timing_1
R_cHiCbzLrQrYeizP,6.439,8,Timing_1
R_3fQa4YiudlrrSLd,1.267,8,Timing_1
R_z0gtYvawsJg834J,2.459,8,Timing_1
R_2SvKoXHDxtivA4o,11.276,8,Timing_1
R_CeG821dsnmsmiZP,3.684,8,Timing_1
R_3MG93Py9LV1lYqI,1.709,8,Timing_1
R_UrtVng9RxUYqodr,7.968,8,Timing_1
R_yjxZCpumE2JuLwR,2.908,8,Timing_1
R_eOEX0Ye1lmhGlyl,5.086,8,Timing_1
R_cCLhtJmTS5XidYl,8.125,8,Timing_1
R_vZ75WKEQFz64rIt,2.463,8,Timing_1
R_1Nzi2lWnM0CO3kn,4.302,8,Timing_1
R_2tu71tqKKoKbfJ0,8.906,8,Timing_1
R_2PdQi8meHWRd7Fb,4.114,8,Timing_1
R_3PaHNs19NCzMVbu,2.585,8,Timing_1
R_CjK7Ok90OSXQ3XH,2.126,8,Timing_1
R_1lgEwIKXFHGT01V,1.122,8,Timing_1
R_2qq1JLwmdrdJM9d,10.333,8,Timing_1
R_ZrTEV9TpypUZEC5,2.826,8,Timing_1
R_3Gq55dSXHC6ANc8,7.276,8,Timing_1
R_3D8b4ozl4q217Ie,4.972,8,Timing_1
R_qV03fIB34drHELn,6.176,8,Timing_1
R_1mRh44rpwMf0PbH,1.266,8,Timing_1
R_3gNkgaxQ9C21dQW,3.521,8,Timing_1
R_21umvRGJCCZXoit,5.84,8,Timing_1
R_BKctGx9a1Hi7w4h,2.799,9,Timing_1
R_u2ffULg0uVmoetj,4.606,9,Timing_1
R_2vf9l3GOwanVBOH,6.537,9,Timing_1
R_OqjAwL4brYESqul,3.624,9,Timing_1
R_1LG8FwYsk4Xgq61,2.781,9,Timing_1
R_2wQZuV97sKRkDfp,1.724,9,Timing_1
R_2dsf9d9zlzEbaRw,1.842,9,Timing_1
R_3j0ZzVXSe6NB0v0,5.462,9,Timing_1
R_2SqwKT4bUhZVaYX,6.306,9,Timing_1
R_6yuZ6GaDGqciNE1,10.114,9,Timing_1
R_22DGKB9Dz59SJIt,2.188,9,Timing_1
R_5iDE07CUBSNZdqF,66.649,9,Timing_1
R_2w61flKU0TAtmrX,13.008,9,Timing_1
R_2Y4gtCNHITcznSw,4.454,9,Timing_1
R_2qDHMLvHLCvMWMS,39.511,9,Timing_1
R_bg7cQUV93CWU245,9.31,9,Timing_1
R_2OTJk9jZohSfhSm,2.251,9,Timing_1
