subj_id,qual_col,RT,measure,row,sentID
R_248iCMeSwyLS8sF,Timing_1(4),4.886,Timing_1,4,146
R_OING4tGkg3q8VLb,Timing_1(4),18.987,Timing_1,4,146
R_3kvbwPackXPANmo,Timing_1(4),1.56,Timing_1,4,146
R_3lRiG6M8Z6vKWZh,Timing_1(4),4.75,Timing_1,4,146
R_3q9cZ9NJjEx872v,Timing_1(4),4.805,Timing_1,4,146
R_ABt8n7PxUqkXqy5,Timing_1(4),3.368,Timing_1,4,146
R_3k6rPDoCD4kup7x,Timing_1(4),4.392,Timing_1,4,146
R_p6iBXJstulO97Jn,Timing_1(4),3.624,Timing_1,4,146
R_USFewLQTXHp0kPT,Timing_1(4),4.314,Timing_1,4,146
R_vrAH2qrxu41QSv7,Timing_1(5),11.047,Timing_1,5,147
R_6Pg4ql6MQumxZo9,Timing_1(5),2.934,Timing_1,5,147
R_1QaBlAsk46HI9NJ,Timing_1(5),4.58,Timing_1,5,147
R_pKtuHvEeh5mujgl,Timing_1(5),2.712,Timing_1,5,147
R_RrYmeJDnKB3hv7r,Timing_1(5),4.454,Timing_1,5,147
R_2alPe2ZkILnzWYp,Timing_1(5),9.528,Timing_1,5,147
R_24zMzQY1U9LX5Gf,Timing_1(5),2.319,Timing_1,5,147
R_2zAp7MZjWbJtouD,Timing_1(5),11.923,Timing_1,5,147
R_1lgea30X5yRbWgb,Timing_1(5),19.431,Timing_1,5,147
R_1dg0dAPlymYfFcu,Timing_1(5),1.819,Timing_1,5,147
R_23TSscPxb3G1aSA,Timing_1(5),4.872,Timing_1,5,147
R_3effdDALVVpFhkK,Timing_1(5),5.103,Timing_1,5,147
R_2PpvbvcItA8LcqM,Timing_1(5),7.042,Timing_1,5,147
R_25WvorTEPc7DuHX,Timing_1(5),6.779,Timing_1,5,147
R_ZJCIt5D6m80Wim5,Timing_1(5),7.42,Timing_1,5,147
R_6gQpeEEoAOw1CNz,Timing_1(5),2.479,Timing_1,5,147
R_UcJP3naTdDXJEDn,Timing_1(5),5.574,Timing_1,5,147
R_21pKbw8vqrjpJ4Q,Timing_1(5),6.84,Timing_1,5,147
R_1HiWKvIl546M44z,Timing_1(5),5.423,Timing_1,5,147
R_BFIiDPrnKiKOhkB,Timing_1(5),4.987,Timing_1,5,147
R_232AZeZQOdbRSAK,Timing_1(5),9.036,Timing_1,5,147
R_1odMwWpdALe3A7c,Timing_1(5),4.508,Timing_1,5,147
R_3CMZ1prTdwstnIi,Timing_1(5),3.278,Timing_1,5,147
R_2SDkvNUYWKzQ9b4,Timing_1(5),2.425,Timing_1,5,147
R_2qwqWlqovi1EnxK,Timing_1(5),10.99,Timing_1,5,147
R_1nSW9rReHHlwpSQ,Timing_1(5),6.305,Timing_1,5,147
R_3FPt6NNv7fs4bHV,Timing_1(5),3.861,Timing_1,5,147
R_2uOs8d5Okoyss7z,Timing_1(5),6.532,Timing_1,5,147
R_1JEdl2aEMuUO63f,Timing_1(5),3.84,Timing_1,5,147
R_6L3ln2BoQAzJw2d,Timing_1(5),1.733,Timing_1,5,147
R_xAA7goWcKMvmb1D,Timing_1(5),3.725,Timing_1,5,147
R_248iCMeSwyLS8sF,Timing_1(5),11.838,Timing_1,5,147
R_OING4tGkg3q8VLb,Timing_1(5),15.257,Timing_1,5,147
R_3kvbwPackXPANmo,Timing_1(5),2.265,Timing_1,5,147
R_3lRiG6M8Z6vKWZh,Timing_1(5),4.931,Timing_1,5,147
R_3q9cZ9NJjEx872v,Timing_1(5),6.118,Timing_1,5,147
R_ABt8n7PxUqkXqy5,Timing_1(5),5.784,Timing_1,5,147
R_3k6rPDoCD4kup7x,Timing_1(5),4.238,Timing_1,5,147
R_p6iBXJstulO97Jn,Timing_1(5),3.898,Timing_1,5,147
R_USFewLQTXHp0kPT,Timing_1(5),0.282,Timing_1,5,147
R_vrAH2qrxu41QSv7,Timing_1(6),6.595,Timing_1,6,148
R_6Pg4ql6MQumxZo9,Timing_1(6),1.602,Timing_1,6,148
R_1QaBlAsk46HI9NJ,Timing_1(6),6.057,Timing_1,6,148
R_pKtuHvEeh5mujgl,Timing_1(6),4.577,Timing_1,6,148
R_RrYmeJDnKB3hv7r,Timing_1(6),3.812,Timing_1,6,148
