subj_id,qual_col,NatNess,measure,row,sentID
R_2alPe2ZkILnzWYp,Natural(6),5.0,Natural,6,148
R_24zMzQY1U9LX5Gf,Natural(6),5.0,Natural,6,148
R_2zAp7MZjWbJtouD,Natural(6),5.0,Natural,6,148
R_1lgea30X5yRbWgb,Natural(6),5.0,Natural,6,148
R_1dg0dAPlymYfFcu,Natural(6),5.0,Natural,6,148
R_23TSscPxb3G1aSA,Natural(6),3.0,Natural,6,148
R_3effdDALVVpFhkK,Natural(6),4.0,Natural,6,148
R_2PpvbvcItA8LcqM,Natural(6),2.0,Natural,6,148
R_25WvorTEPc7DuHX,Natural(6),5.0,Natural,6,148
R_ZJCIt5D6m80Wim5,Natural(6),5.0,Natural,6,148
R_6gQpeEEoAOw1CNz,Natural(6),5.0,Natural,6,148
R_UcJP3naTdDXJEDn,Natural(6),,Natural,6,148
R_21pKbw8vqrjpJ4Q,Natural(6),5.0,Natural,6,148
R_1HiWKvIl546M44z,Natural(6),4.0,Natural,6,148
R_BFIiDPrnKiKOhkB,Natural(6),5.0,Natural,6,148
R_232AZeZQOdbRSAK,Natural(6),5.0,Natural,6,148
R_1odMwWpdALe3A7c,Natural(6),4.0,Natural,6,148
R_3CMZ1prTdwstnIi,Natural(6),5.0,Natural,6,148
R_2SDkvNUYWKzQ9b4,Natural(6),2.0,Natural,6,148
R_2qwqWlqovi1EnxK,Natural(6),4.0,Natural,6,148
R_1nSW9rReHHlwpSQ,Natural(6),5.0,Natural,6,148
R_3FPt6NNv7fs4bHV,Natural(6),5.0,Natural,6,148
R_2uOs8d5Okoyss7z,Natural(6),3.0,Natural,6,148
R_1JEdl2aEMuUO63f,Natural(6),5.0,Natural,6,148
R_6L3ln2BoQAzJw2d,Natural(6),5.0,Natural,6,148
R_xAA7goWcKMvmb1D,Natural(6),4.0,Natural,6,148
R_248iCMeSwyLS8sF,Natural(6),4.0,Natural,6,148
R_OING4tGkg3q8VLb,Natural(6),3.0,Natural,6,148
R_3kvbwPackXPANmo,Natural(6),5.0,Natural,6,148
R_3lRiG6M8Z6vKWZh,Natural(6),5.0,Natural,6,148
R_3q9cZ9NJjEx872v,Natural(6),5.0,Natural,6,148
R_ABt8n7PxUqkXqy5,Natural(6),5.0,Natural,6,148
R_3k6rPDoCD4kup7x,Natural(6),5.0,Natural,6,148
R_p6iBXJstulO97Jn,Natural(6),5.0,Natural,6,148
R_USFewLQTXHp0kPT,Natural(6),5.0,Natural,6,148
R_vrAH2qrxu41QSv7,Natural(7),5.0,Natural,7,149
R_6Pg4ql6MQumxZo9,Natural(7),4.0,Natural,7,149
R_1QaBlAsk46HI9NJ,Natural(7),3.0,Natural,7,149
R_pKtuHvEeh5mujgl,Natural(7),5.0,Natural,7,149
R_RrYmeJDnKB3hv7r,Natural(7),5.0,Natural,7,149
R_2alPe2ZkILnzWYp,Natural(7),5.0,Natural,7,149
R_24zMzQY1U9LX5Gf,Natural(7),5.0,Natural,7,149
R_2zAp7MZjWbJtouD,Natural(7),3.0,Natural,7,149
R_1lgea30X5yRbWgb,Natural(7),2.0,Natural,7,149
R_1dg0dAPlymYfFcu,Natural(7),2.0,Natural,7,149
R_23TSscPxb3G1aSA,Natural(7),5.0,Natural,7,149
R_3effdDALVVpFhkK,Natural(7),5.0,Natural,7,149
R_2PpvbvcItA8LcqM,Natural(7),5.0,Natural,7,149
R_25WvorTEPc7DuHX,Natural(7),5.0,Natural,7,149
R_ZJCIt5D6m80Wim5,Natural(7),1.0,Natural,7,149
R_6gQpeEEoAOw1CNz,Natural(7),5.0,Natural,7,149
R_UcJP3naTdDXJEDn,Natural(7),3.0,Natural,7,149
R_21pKbw8vqrjpJ4Q,Natural(7),5.0,Natural,7,149
R_1HiWKvIl546M44z,Natural(7),2.0,Natural,7,149
R_BFIiDPrnKiKOhkB,Natural(7),1.0,Natural,7,149
R_232AZeZQOdbRSAK,Natural(7),3.0,Natural,7,149
R_1odMwWpdALe3A7c,Natural(7),1.0,Natural,7,149
R_3CMZ1prTdwstnIi,Natural(7),5.0,Natural,7,149
R_2SDkvNUYWKzQ9b4,Natural(7),4.0,Natural,7,149
R_2qwqWlqovi1EnxK,Natural(7),5.0,Natural,7,149
R_1nSW9rReHHlwpSQ,Natural(7),3.0,Natural,7,149
R_3FPt6NNv7fs4bHV,Natural(7),4.0,Natural,7,149
R_2uOs8d5Okoyss7z,Natural(7),3.0,Natural,7,149
R_1JEdl2aEMuUO63f,Natural(7),5.0,Natural,7,149
R_6L3ln2BoQAzJw2d,Natural(7),5.0,Natural,7,149
R_xAA7goWcKMvmb1D,Natural(7),3.0,Natural,7,149
R_248iCMeSwyLS8sF,Natural(7),4.0,Natural,7,149
R_OING4tGkg3q8VLb,Natural(7),2.0,Natural,7,149
R_3kvbwPackXPANmo,Natural(7),5.0,Natural,7,149
R_3lRiG6M8Z6vKWZh,Natural(7),4.0,Natural,7,149
R_3q9cZ9NJjEx872v,Natural(7),1.0,Natural,7,149
R_ABt8n7PxUqkXqy5,Natural(7),4.0,Natural,7,149
R_3k6rPDoCD4kup7x,Natural(7),5.0,Natural,7,149
