"sentID","CompLcase","popularity","percent"
29,"de goede volgorde",1,1.86915887850467
29,"het rek",1,1.86915887850467
30,"de sneeuw",52,97.196261682243
31,"de brievenbus",36,67.2897196261682
31,"de gang",6,11.214953271028
31,"de bus",3,5.60747663551402
31,"bij ons",1,1.86915887850467
31,"brievenbus",1,1.86915887850467
31,"de mat",1,1.86915887850467
31,"de postbus",1,1.86915887850467
31,"een stapel",1,1.86915887850467
31,"het postvak",1,1.86915887850467
31,"het postvakje",1,1.86915887850467
32,"het licht",47,87.8504672897196
32,"de lamp",5,9.34579439252336
33,"het journaal",26,48.5981308411215
33,"het nieuws",25,46.7289719626168
33,"het achtuurjournaal",1,1.86915887850467
34,"de wekker",51,95.3271028037383
34,"",1,1.86915887850467
35,"het internet",25,46.7289719626168
35,"de website",11,20.5607476635514
35,"de computer",4,7.47663551401869
