sentID,SentenceContext,comp.det,comp.noun,sentenceClosure,compLower,popularity,nComp,percent,above70,,,Lg10WF
125,"Sam lijkt erg op zijn vader, een typisch geval van de appel valt niet ver van",de,boom,als je het mij vraagt.,de boom,56,56,100,1,,,3.3915
126,Wij wilden op zijn verjaardag proosten. We ontpopten daarom met veel geluid,de,champagne,en zetten de hapjes op tafel.,de champagne,41,54,75.92592593,1,,,2.7619
129,Sophie dekte de tafel. Ze begon met de borden en de glazen en daarna legde zij keurig,het,bestek,in de juiste volgorde op tafel.,het bestek,57,58,98.27586207,1,,,3.5412
130,Frans en Stijn bezoeken alle wedstrijden van hun favoriete voetbalclub en vertrekken altijd op tijd naar,het,stadion,om een goede plek te bemachtigen.,het stadion,50,58,86.20689655,1,,,3.0719
131,Tijdens de treinrit werd ons kaartje gecontroleerd door,de,conducteur,met de grote snor.,de conducteur,42,58,72.4137931,1,,,3.345
132,Er zijn wel bijna tweehonderd verschillende landen op,de,wereld,waar ik maar slechts een klein deel van heb gezien.,de wereld,50,58,86.20689655,1,,,3.0149
133,De doktersassistente vroeg mij plaats te nemen in,de,wachtkamer,voordat de dokter mij zou komen halen.,de wachtkamer,45,58,77.5862069,1,,,4.2901
134,Bart en Sara liepen in het park met hun baby in,de,kinderwagen,naar de vijver.,de kinderwagen,47,57,82.45614035,1,,,2.8727
136,De trein kwam tien minuten later dan verwacht aan op,het,station,van Den Haag.,het station,53,58,91.37931034,1,,,3.1764
137,"Toen mijn ouders een weekendje weg waren, vroeg mijn vader aan de buurvrouw of zij een oogje in",het,zeil,wilde houden.,het zeil,53,58,91.37931034,1,,,2.4955
140,De bejaarden bekeken veel schilderijen van Rembrandt die tentoongesteld werden in,het,museum,in het centrum van de stad.,het museum,52,58,89.65517241,1,,,2.4099
141,Bij thuiskomst stak Dirk de sleutel in,het,slot,om naar binnen te gaan.,het slot,48,58,82.75862069,1,,,2.5717
142,"Meester Jansen werkt al dertig jaar op dezelfde school, hij is echt een oude rot in",het,vak,en dat merk je wel aan zijn omgang met zijn collega's.,het vak,46,58,79.31034483,1,,,2.6138
1,Voor veel Nederlanders is een koekje bij,de,koffie,heilig.,de koffie,28,52,53.84615385,0,,,2.4639
2,Jasper wilde gelijk piloot worden na het lezen van,een,boek,over vliegtuigen.,een boek,20,51,39.21568627,0,,,2.5441
3,Om de brownie te maken smelt Max als eerste,de,chocolade,voor hij de eieren toevoegt.,de chocolade,21,52,40.38461538,0,,,3.1912
15,In de supermarkt vindt u de eieren aan het einde van,het,gangpad,aan de rechterkant.,het gangpad,25,52,48.07692308,0,,,3.7888
18,De meiden besloten om vandaag te gaan winkelen in,de,stad,waar zij eens per maand kwamen.,de stad,27,52,51.92307692,0,,,3.5051
19,"Het was een beetje frisjes in de huiskamer, dus Annie sloot",het,raam,snel.,het raam,33,52,63.46153846,0,,,2.6702
35,"Ik weet niet uit mijn hoofd wat de gegevens waren, maar je kunt het document opzoeken op",het,internet,als je dat wilt.,het internet,25,47,53.19148936,0,,,2.1492
37,Na de moord was de onderzoeker al snel op de plaats delict om de verwondingen op,het,lichaam,te bestuderen.,het lichaam,21,48,43.75,0,,,1.2788
48,"Als je trek hebt, kun je een koekje uit",de,trommel,pakken.,de trommel,31,47,65.95744681,0,,,2.2989
52,"Om de kluis te vinden, keek de inbreker als eerste achter",het,schilderij,in de woonkamer.,het schilderij,29,49,59.18367347,0,,,1.6902
55,"Kelly kon haar vriend niet verstaan door de telefoon, zo slecht was",het,bereik,in de supermarkt.,het bereik,21,48,43.75,0,,,2.7875
56,"Om het echt Italiaans te laten smaken, gooi ik pesto in",de,pasta,samen met verschillende groenten.,de pasta,18,48,37.5,0,,,1.716
60,"Ze waren goed bediend, dus het stel liet een flinke fooi achter voor",de,ober,op de tafel bij de rekening.,de ober,20,49,40.81632653,0,,,3.4777
61,In het restaurant schonk de ober de wijn in,het,glas,om te proeven.,het glas,19,47,40.42553191,0,,,3.1271
65,"Ronald heeft niet veel geluk in de liefde, maar in",het,spel,is hij wel gelukkig.,het spel,22,48,45.83333333,0,,,2.6222
71,"De baby was eindelijk in slaap gevallen, dus Kristiaan legde haar in",de,wieg,in haar slaapkamer.,de wieg,21,46,45.65217391,0,,,3.262
72,Ik ben erg ge•_«nteresseerd in de sterren en planeten en kijk 's avonds vaak naar de sterren door,de,telescoop,op onze zolderkamer.,de telescoop,23,49,46.93877551,0,,,3.3591
73,Maarten zit veel achter zijn computer en staart vaak uren naar,het,scherm,op zijn bureau.,het scherm,35,53,66.03773585,0,,,3.1807
76,"Toen de hongerige klanten hun plek in het restaurant gekozen hadden, vroegen zij snel naar",de,menukaart,met alle heerlijke gerechten.,de menukaart,22,52,42.30769231,0,,,2.8915
78,"We zagen heel lang geen oplossing, maar we lijken nu eindelijk licht aan het einde van",de,duisternis,te gaan zien.,de duisternis,16,52,30.76923077,0,,,3.5092
81,"Toen we een paar weken weggingen gaven we de sleutel aan de buurvrouw, zodat zij op",het,huis,kon passen.,het huis,22,53,41.50943396,0,,,1.9542
82,We stonden op het punt om naar het vliegveld te vertrekken. Mijn moeder deed onze koffers in,de,auto,en sloot de deur.,de auto,30,53,56.60377358,0,,,2.3692
86,Door de storm en het onweer viel in huis,de,stroom,uit.,de stroom,36,53,67.9245283,0,,,1.9395
91,Hij had niets bij zich om zijn sigaret mee aan te steken en daarom vroeg hij,een,aansteker,aan zijn vriend.,een aansteker,33,50,66,0,,,4.2363
96,"De deurwaarder stond voor de deur, omdat Marc na twee waarschuwingen nog steeds",de,rekening,niet had betaald.,de rekening,24,53,45.28301887,0,,,1.9731
99,Met de protestactie probeert de padvindersclub de aandacht van de gemeente te trekken voor de bescherming van,de,natuur,rondom het dorp.,de natuur,26,51,50.98039216,0,,,1.7076
112,Na de schietpartij gebruikte de detective een vergrootglas om sporen van vingerafdrukken op,het,wapen,te vinden.,het wapen,15,49,30.6122449,0,,,2.5105
115,Doordat het caf_ niet over genoeg parasols beschikte was er helaas maar weinig schaduw op,het,terras,waar we wilden zitten.,het terras,36,58,62.06896552,0,,,3.0888
119,"Marie hield erg van de muziek van Coldplay, dus voor haar verjaardag nam haar vriend haar mee naar",een,concert,in het stadion.,een concert,26,58,44.82758621,0,,,2.4814
127,Tarzan en George slingeren als apen aan lianen door,de,jungle,alsof het niets is.,de jungle,28,58,48.27586207,0,,,2.4409
128,Alle belangrijke informatie van de Belastingsdienst stond in,de,brief,over de nieuwe regelingen.,de brief,22,58,37.93103448,0,,,2.8096
135,Elk jaar op Prinsjesdag rijdt de koning door Den Haag in,de,koets,en zwaait hij door het raam naar de mensen langs de kant.,de koets,40,58,68.96551724,0,,,2.9201
138,"De kleding die Karin online besteld had, werd de volgende dag bezorgd door",de,postbode,op de fiets.,de postbode,29,58,50,0,,,3.3608
139,"Met Sinterklaas doen wij altijd surprises, waarbij je begint met het voorlezen van",een,gedicht,en daarna de surprise openmaakt.,een gedicht,28,57,49.12280702,0,,,2.9841
,,,,,,,,,,,,
143,"Auto's and vliegtuigen zijn slecht voor het mileu, dus sommige mensen gaan liever via de Eurotunnel met",de ,trein,naar Engeland.,,,,,,,,
144,"Er staan lange files voor Zandvoort aan Zee, omdat iedereen lekker wil uitwaaien op",het,strand,vandaag.,,,,,,,,
145,"Neem de trap als er brand uitbreekt, want",de,lift,is buiten gebruik.,,,,,,,,
146,"Je hebt de bus net gemist, dus ik breng je wel even met",de,auto,naar het station.,,,,,,,,
147,"Als je fiets gestolen is, moet je officieel aangifte doen bij",de,politie,om geld terug te krijgen van de verzekering,,,,,,,,
148,"Geld sparen in een oude sok is niet meer van deze tijd, je kunt het beter op",de,bank,zetten.,,,,,,,,
149,In de Randstad weten veel kinderen minder over de natuur dan mensen die opgroeien in boerderijen op,het,platteland,in het oosten.,,,,,,,,
150,Je moet een pak verse melk altijd terugzetten in,de,koelkast,om te voorkomen dat het bederft.,,,,,,,,
151,"Ik heb de borden al op tafel gelegd, kun jij uit de bovenste la",het,bestek,pakken en erbij leggen?,,,,,,,,
152,Mijn hond was ziek dus ik moest ermee naar,de,dierenarts,vanmorgen.,,,,,,,,
153,In Mexico zijn drie criminelen ontsnapt uit,de,gevangenis,gisteren.,,,,,,,,
154,Als iedereen na de crisis weer meer geld gaat investeren zal het snel beter gaan met,de,economie,van het land.,,,,,,,,
155,Volgens de Sinterklaastraditie in Nederland komt Zwarte Piet vanaf het dak door,de,schoorsteen,het huis binnen om cadeautjes te brengen.,,,,,,,,
156,De overvallers stormden de winkel binnen en gingen direct naar de kassa's om,het ,geld,te stelen.,,,,,,,,
157,Ik heb 2 vrijkaartjes voor de bioscoop; het je zin om mee te gaan naar,de,film,volgende week?,,,,,,,,
158,Dit is de hit die je het meest hoort op,de,radio,tegenwoordig.,,,,,,,,
159,"Ik heb geen tuin, want ik woon in een flat, maar ik kan in de zomer wel altijd lekker op",het,balkon,zitten.,,,,,,,,
160,De koude lucht uit Belgi‘ zal zich vanuit het zuiden gaan verspreiden in de rest van,het,land,morgen.,,,,,,,,
161,Op zondag leest mijn vader altijd uitgebreid,de,krant,bij het ontbijt.,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
300,Morgen ga ik met het vliegtuig naar Londen voor een conferentie.,,,,,,,,,,,
301,"Op woensdag gaat hij altijd met de fiets naar zijn werk, omdat hij dan pas om 10 uur hoeft te beginnen.",,,,,,,,,,,
302,"Veel leraren zullen blij zijn als het straks eindelijk vakantie is, want dan kunnen ze rustig alle toetsen nakijken.",,,,,,,,,,,
303,Op de universiteit lopen veel studenten rond die nog niet precies weten wat ze na hun studie willen doen.,,,,,,,,,,,
304,Piet vond de geschiedenis van Afrika een van de leukste vakken die hij tijdens zijn studie heeft gevolgd.,,,,,,,,,,,
305,Voor het ontbijt eet mijn moeder altijd een boterham met kaas en een beschuit met hagelslag.,,,,,,,,,,,
306,"De boeken die in de kast staan heeft Marie allemaal al eens gelezen, die op haar nachtkastje nog niet.",,,,,,,,,,,
307,"Gisteren is een collega van Jan de sloot in gereden, maar gelukkig kon hij net op tijd uit het raam klimmen.",,,,,,,,,,,
308,"Als de telefoon gaat, hoef je niet op te nemen, want dat doet de receptioniste altijd in dit bedrijf.",,,,,,,,,,,
309,Kinderen vinden het nooit leuk als je zegt dat ze naar bed moeten; ze verzinnen altijd een smoesje om langer op te mogen blijven.,,,,,,,,,,,
